,pause,play,completed,id,user_id
0,"{'timestamps': ['2024-11-11T23:59:51.281203', '2024-11-12T00:03:58.145961'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 11, 23, 3, 58, 144999, tzinfo=datetime.timezone.utc), 'count': 2}","{'timestamps': ['2024-11-11T23:58:38.805640', '2024-11-12T00:00:00.961847', '2024-11-12T00:03:55.200576'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 11, 23, 3, 55, 200000, tzinfo=datetime.timezone.utc), 'count': 3}","{'timestamps': ['2024-11-12T00:00:08.320920'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 11, 23, 0, 8, 319999, tzinfo=datetime.timezone.utc), 'count': 1}",3Hr5CFX38oXc0OBPXP4u,0UDr3W7HvFR9NvXS3QPLqHPI24s1
1,"{'timestamps': ['2024-11-29T15:35:10.246236'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 29, 14, 35, 10, 246000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-11-29T15:34:55.686390'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 29, 14, 34, 55, 686000, tzinfo=datetime.timezone.utc), 'count': 1}",,9JZfBAFAnen6az524KLh,0UDr3W7HvFR9NvXS3QPLqHPI24s1
2,"{'timestamps': ['2024-11-12T00:03:10.343115', '2024-11-12T00:03:25.194727', '2024-11-12T00:03:46.411704'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 11, 23, 3, 46, 411000, tzinfo=datetime.timezone.utc), 'count': 3}","{'timestamps': ['2024-11-12T00:03:31.567384'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 11, 23, 3, 31, 566999, tzinfo=datetime.timezone.utc), 'count': 1}",,oyHPa7x7aXLt7FrbbnRV,0UDr3W7HvFR9NvXS3QPLqHPI24s1
3,,"{'timestamps': ['2024-08-15T12:13:08.673647'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 15, 10, 13, 8, 673000, tzinfo=datetime.timezone.utc), 'count': 1}",,TyEbLO6fdCoBZESeiGFL,0VGq6Jva5ZcO5rmBEib6UNaVZ1I3
4,"{'timestamps': ['2025-06-16T18:10:47.616771'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 16, 16, 10, 47, 616000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-16T18:08:58.680279'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 16, 16, 8, 58, 680000, tzinfo=datetime.timezone.utc), 'count': 1}",,XbQgaUitufw3TLIfK0xL,1Asa2C0GUQQqqgWy1wgilAqr8XE2
5,"{'timestamps': ['2025-07-04T15:29:47.123268'], 'timestamp': DatetimeWithNanoseconds(2025, 7, 4, 14, 29, 47, 123000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-07-04T15:29:12.298906'], 'timestamp': DatetimeWithNanoseconds(2025, 7, 4, 14, 29, 12, 298000, tzinfo=datetime.timezone.utc), 'count': 1}",,YcV0hJrM5JZi6S6zZYKP,1XS7g4EnaoYUxR4A8dgZLoEKmtY2
6,"{'timestamps': ['2024-11-04T10:17:08.325176', '2024-11-04T10:23:43.225435', '2024-11-04T10:24:05.340197'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 4, 9, 24, 5, 339999, tzinfo=datetime.timezone.utc), 'count': 3}","{'timestamps': ['2024-11-04T10:14:13.254141', '2024-11-04T10:17:38.575231', '2024-11-04T10:20:14.396445', '2024-11-04T10:23:41.581870', '2024-11-04T10:24:03.668754'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 4, 9, 24, 3, 667999, tzinfo=datetime.timezone.utc), 'count': 5}","{'timestamps': ['2024-11-04T10:20:06.332024', '2024-11-04T10:21:57.329472'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 4, 9, 21, 57, 328999, tzinfo=datetime.timezone.utc), 'count': 2}",B3jRDMq5Lw0DepbIP1Bb,1us0tXILkZanuGls6vU4kzY52b23
7,,"{'timestamps': ['2024-10-28T13:48:10.542'], 'timestamp': DatetimeWithNanoseconds(2024, 10, 28, 12, 48, 10, 542000, tzinfo=datetime.timezone.utc), 'count': 1}",,Yf9v1rLQISRSvfXT8jU2,1us0tXILkZanuGls6vU4kzY52b23
8,"{'timestamps': ['2025-03-23T13:49:15.205859', '2025-03-23T13:50:11.277750', '2025-03-23T13:50:24.618311'], 'timestamp': DatetimeWithNanoseconds(2025, 3, 23, 12, 50, 24, 618000, tzinfo=datetime.timezone.utc), 'count': 3}","{'timestamps': ['2025-03-23T13:49:15.209324', '2025-03-23T13:49:34.732958', '2025-03-23T13:50:24.622910'], 'timestamp': DatetimeWithNanoseconds(2025, 3, 23, 12, 50, 24, 621999, tzinfo=datetime.timezone.utc), 'count': 3}",,ge9LfokiALd9AqUE8rnv,21KZBybDBUQ6Aeyxil1dxSi8JG12
9,,"{'timestamps': ['2024-09-21T21:04:35.748'], 'timestamp': DatetimeWithNanoseconds(2024, 9, 22, 2, 4, 35, 748000, tzinfo=datetime.timezone.utc), 'count': 1}",,JWNok0n3xjpVJz6L7f2R,22bou4V8Iifz4QHBIu2GaCCozSl1
